day,floret,treatment,time,length (mm),ZT
2,2,East,6:00,8.812557692,-0.5
2,3,East,6:00,8.805903846,-0.5
2,1,East,6:15,8.488533333,-0.25
2,2,East,6:15,8.533311111,-0.25
2,3,East,6:15,8.426966667,-0.25
2,1,East,6:30,8.864918919,0
2,2,East,6:30,8.656851351,0
2,3,East,6:30,8.498108108,0
2,1,East,6:45,9.171046747,0.25
2,2,East,6:45,9.257846,0.25
2,3,East,6:45,9.337463499,0.25
2,1,East,7:00,9.454392857,0.5
2,2,East,7:00,9.122333333,0.5
2,3,East,7:00,8.735642857,0.5
2,1,East,7:15,9.407923077,0.75
2,2,East,7:15,9.601230769,0.75
2,3,East,7:15,9.213307692,0.75
2,1,East,7:30,9.32747511,1
2,2,East,7:30,9.619746849,1
2,3,East,7:30,10.33260837,1
2,1,East,7:45,11.156,1.25
2,2,East,7:45,11.05835135,1.25
2,3,East,7:45,12.01347297,1.25
2,1,East,8:00,11.08140928,1.5
2,2,East,8:00,11.43720644,1.5
2,3,East,8:00,11.81286385,1.5
2,1,East,8:15,12.77093103,1.75
2,2,East,8:15,12.40870115,1.75
2,3,East,8:15,12.88528736,1.75
2,1,East,8:30,13.71728002,2
2,2,East,8:30,13.11506891,2
2,3,East,8:30,13.62504922,2
2,1,East,8:45,11.76808943,2.25
2,2,East,8:45,11.48939837,2.25
2,3,East,8:45,11.98660163,2.25
2,1,East,9:00,12.90009461,2.5
2,2,East,9:00,12.32895636,2.5
2,3,East,9:00,13.25384993,2.5
2,1,East,9:15,12.57109009,2.75
2,2,East,9:15,12.65399099,2.75
2,3,East,9:15,12.61833333,2.75
2,1,East,9:30,13.08989233,3
2,2,East,9:30,13.29861721,3
2,3,East,9:30,13.00131644,3
2,1,West,5:30,7.818678161,-1
2,2,West,5:30,8.023735632,-1
2,3,West,5:30,7.81708046,-1
2,1,West,5:45,7.756727273,-0.75
2,2,West,5:45,7.84079798,-0.75
2,3,West,5:45,7.366313131,-0.75
2,1,West,6:00,7.65245679,-0.5
2,2,West,6:00,7.540419753,-0.5
2,3,West,6:00,7.541234568,-0.5
2,1,West,6:15,7.337716382,-0.25
2,2,West,6:15,7.824801162,-0.25
2,3,West,6:15,7.637118022,-0.25
2,1,West,6:30,7.825010753,0
2,2,West,6:30,7.905537634,0
2,3,West,6:30,7.395806452,0
2,1,West,6:45,8.289834799,0.25
2,2,West,6:45,8.299200639,0.25
2,3,West,6:45,8.358979483,0.25
2,1,West,7:00,8.796688374,0.5
2,2,West,7:00,8.511787571,0.5
2,3,West,7:00,8.547256298,0.5
2,1,West,7:15,8.80855914,0.75
2,2,West,7:15,8.851075269,0.75
2,3,West,7:15,8.931075269,0.75
2,1,West,7:30,8.731135092,1
2,2,West,7:30,8.734892086,1
2,3,West,7:30,9.006008527,1
2,1,West,7:45,8.884839506,1.25
2,2,West,7:45,8.577888889,1.25
2,3,West,7:45,8.959617284,1.25
2,1,West,8:00,9.35792,1.5
2,2,West,8:00,9.443493333,1.5
2,3,West,8:00,9.91436,1.5
2,1,West,8:15,8.710958018,1.75
2,2,West,8:15,8.999157226,1.75
2,3,West,8:15,8.539718161,1.75
2,1,West,8:30,9.705274074,2
2,2,West,8:30,10.17306667,2
2,3,West,8:30,9.578407407,2
2,1,West,8:45,10.38352264,2.25
2,2,West,8:45,10.7593821,2.25
2,3,West,8:45,10.84899793,2.25
2,1,West,9:00,10.84914167,2.5
2,2,West,9:00,10.533625,2.5
2,3,West,9:00,10.60650833,2.5
2,1,West,9:15,10.3087193,2.75
2,2,West,9:15,9.573596491,2.75
2,3,West,9:15,10.28508772,2.75
2,1,West,9:30,10.51266667,3
2,2,West,9:30,10.39709524,3
2,3,West,9:30,11.38555238,3
2,1,WestHeat,5:30,8.462842105,-1
2,2,WestHeat,5:30,8.302131579,-1
2,3,WestHeat,5:30,8.121421053,-1
2,1,WestHeat,5:45,8.067255814,-0.75
2,2,WestHeat,5:45,8.388662791,-0.75
2,3,WestHeat,5:45,8.16155814,-0.75
2,1,WestHeat,6:00,8.009964286,-0.5
2,2,WestHeat,6:00,8.013916667,-0.5
2,3,WestHeat,6:00,7.493892857,-0.5
2,1,WestHeat,6:15,8.339308824,-0.25
2,2,WestHeat,6:15,8.069279412,-0.25
2,3,WestHeat,6:15,8.230955882,-0.25
2,1,WestHeat,6:30,7.321119565,0
2,2,WestHeat,6:30,7.544695652,0
2,3,WestHeat,6:30,7.397054348,0
2,1,WestHeat,6:45,8.309214286,0.25
2,2,WestHeat,6:45,8.688547619,0.25
2,3,WestHeat,6:45,8.722404762,0.25
2,1,WestHeat,7:00,9.093046512,0.5
2,2,WestHeat,7:00,9.027151163,0.5
2,3,WestHeat,7:00,8.726709302,0.5
2,1,WestHeat,7:15,8.675590909,0.75
2,2,WestHeat,7:15,9.046545455,0.75
2,3,WestHeat,7:15,9.238738636,0.75
2,1,WestHeat,7:30,9.054227273,1
2,2,WestHeat,7:30,9.181272727,1
2,3,WestHeat,7:30,9.150238636,1
2,1,WestHeat,7:45,8.6817125,1.25
2,2,WestHeat,7:45,8.6539375,1.25
2,3,WestHeat,7:45,8.8766375,1.25
2,1,WestHeat,8:00,9.769916667,1.5
2,2,WestHeat,8:00,9.4778125,1.5
2,3,WestHeat,8:00,9.54778125,1.5
2,1,WestHeat,8:15,9.119388575,1.75
2,2,WestHeat,8:15,9.454544678,1.75
2,3,WestHeat,8:15,9.468864813,1.75
2,1,WestHeat,8:30,10.31872973,2
2,2,WestHeat,8:30,10.26094595,2
2,3,WestHeat,8:30,10.00963063,2
2,1,WestHeat,8:45,11.06596491,2.25
2,2,WestHeat,8:45,11.33664035,2.25
2,3,WestHeat,8:45,11.81945614,2.25
2,1,WestHeat,9:00,11.9825586,2.5
2,2,WestHeat,9:00,11.42593323,2.5
2,3,WestHeat,9:00,11.85186647,2.5
2,1,WestHeat,9:15,12.37848379,2.75
2,2,WestHeat,9:15,11.29669554,2.75
2,3,WestHeat,9:15,12.23276234,2.75
3,1,East,5:30,6.944760072,-1
3,2,East,5:30,6.869737402,-1
3,3,East,5:30,6.969409849,-1
3,1,East,5:45,6.6065125,-0.75
3,2,East,5:45,6.9800125,-0.75
3,3,East,5:45,6.68955,-0.75
3,1,East,6:00,6.779959459,-0.5
3,2,East,6:00,6.855445946,-0.5
3,3,East,6:00,6.77627027,-0.5
3,1,East,6:15,6.44059147,-0.25
3,2,East,6:15,6.589179638,-0.25
3,3,East,6:15,6.645001918,-0.25
3,1,East,6:30,7.91997561,0
3,2,East,6:30,7.492926829,0
3,3,East,6:30,7.47,0
3,1,East,6:45,7.424585997,0.25
3,2,East,6:45,7.723870199,0.25
3,3,East,6:45,7.356898991,0.25
3,1,East,7:00,7.334644737,0.5
3,2,East,7:00,7.340302632,0.5
3,3,East,7:00,7.408894737,0.5
3,1,East,7:15,7.510948708,0.75
3,2,East,7:15,7.437178327,0.75
3,3,East,7:15,7.558877166,0.75
3,1,East,7:30,7.249266667,1
3,2,East,7:30,7.317833333,1
3,3,East,7:30,7.531822222,1
3,1,East,7:45,7.706512821,1.25
3,2,East,7:45,7.941705128,1.25
3,3,East,7:45,7.725910256,1.25
3,1,East,8:00,8.141794118,1.5
3,2,East,8:00,7.355490196,1.5
3,3,East,8:00,7.689039216,1.5
3,1,East,8:15,7.676347826,1.75
3,2,East,8:15,8.228228261,1.75
3,3,East,8:15,7.432826087,1.75
3,1,East,8:30,8.780347826,2
3,2,East,8:30,8.697663043,2
3,3,East,8:30,9.254119565,2
3,1,East,8:45,9.261176675,2.25
3,2,East,8:45,9.213916237,2.25
3,3,East,8:45,9.160874573,2.25
3,1,East,9:00,8.97283,2.5
3,2,East,9:00,8.99589,2.5
3,3,East,9:00,9.1331,2.5
3,1,East,9:15,9.370423913,2.75
3,2,East,9:15,9.681347826,2.75
3,3,East,9:15,9.395978261,2.75
3,1,East,9:30,8.636134146,3
3,2,East,9:30,9.307560976,3
3,3,East,9:30,NA,3
3,1,East,9:45,9.444943848,3.25
3,2,East,9:45,9.378584131,3.25
3,3,East,9:45,9.288667203,3.25
3,1,East,10:00,9.964722595,3.5
3,2,East,10:00,9.779417568,3.5
3,3,East,10:00,9.715755136,3.5
3,1,West,5:30,7.058459459,-1
3,2,West,5:30,6.884851351,-1
3,3,West,5:30,7.054054054,-1
3,1,West,5:45,7.356606061,-0.75
3,2,West,5:45,7.563257576,-0.75
3,3,West,5:45,7.273681818,-0.75
3,1,West,6:00,7.342011364,-0.5
3,2,West,6:00,7.165840909,-0.5
3,3,West,6:00,7.087977273,-0.5
3,1,West,6:15,7.167763158,-0.25
3,2,West,6:15,7.186236842,-0.25
3,3,West,6:15,7.079828947,-0.25
3,1,West,6:30,7.829735294,0
3,2,West,6:30,7.930176471,0
3,3,West,6:30,7.388470588,0
3,1,West,6:45,7.0175,0.25
3,2,West,6:45,6.980852273,0.25
3,3,West,6:45,7.107909091,0.25
3,1,West,7:00,6.940170478,0.5
3,2,West,7:00,7.097950748,0.5
3,3,West,7:00,7.008172694,0.5
3,1,West,7:15,8.070013158,0.75
3,2,West,7:15,8.152210526,0.75
3,3,West,7:15,7.828276316,0.75
3,1,West,7:30,7.4164625,1
3,2,West,7:30,7.4474125,1
3,3,West,7:30,6.851375,1
3,1,West,7:45,8.253719512,1.25
3,2,West,7:45,8.029390244,1.25
3,3,West,7:45,7.81054878,1.25
3,1,West,8:00,7.939733333,1.5
3,2,West,8:00,7.626655556,1.5
3,3,West,8:00,7.930633333,1.5
3,1,West,8:15,7.562459124,1.75
3,2,West,8:15,7.28220465,1.75
3,3,West,8:15,7.402199893,1.75
3,1,West,8:30,7.592516766,2
3,2,West,8:30,7.522117617,2
3,3,West,8:30,7.376305778,2
3,1,West,8:45,7.349978723,2.25
3,2,West,8:45,7.209510638,2.25
3,3,West,8:45,7.143074468,2.25
3,1,West,9:00,6.900310421,2.5
3,2,West,9:00,7.284711752,2.5
3,3,West,9:00,7.191441242,2.5
3,1,West,9:15,7.557200302,2.75
3,2,West,9:15,7.616141307,2.75
3,3,West,9:15,8.057186808,2.75
3,1,West,9:30,7.6777125,3
3,2,West,9:30,7.5609375,3
3,3,West,9:30,7.4101125,3
3,1,West,9:45,8.999121951,3.25
3,2,West,9:45,8.481841463,3.25
3,3,West,9:45,8.094682927,3.25
3,1,West,10:00,8.447129047,3.5
3,2,West,10:00,8.5538277,3.5
3,3,West,10:00,8.727213012,3.5
3,1,WestHeat,5:30,6.586742857,-1
3,2,WestHeat,5:30,6.377657143,-1
3,3,WestHeat,5:30,6.826885714,-1
3,1,WestHeat,5:45,6.473096774,-0.75
3,2,WestHeat,5:45,6.712209677,-0.75
3,3,WestHeat,5:45,6.896274194,-0.75
3,1,WestHeat,6:00,7.179455882,-0.5
3,2,WestHeat,6:00,7.181911765,-0.5
3,3,WestHeat,6:00,7.417455882,-0.5
3,1,WestHeat,6:15,7.100157143,-0.25
3,2,WestHeat,6:15,6.894157143,-0.25
3,3,WestHeat,6:15,NA,-0.25
3,1,WestHeat,6:30,7.352958333,0
3,2,WestHeat,6:30,7.036541667,0
3,3,WestHeat,6:30,7.278763889,0
3,1,WestHeat,6:45,6.981435897,0.25
3,2,WestHeat,6:45,7.338230769,0.25
3,3,WestHeat,6:45,7.092948718,0.25
3,1,WestHeat,7:00,7.567146987,0.5
3,2,WestHeat,7:00,7.469094347,0.5
3,3,WestHeat,7:00,6.87160679,0.5
3,1,WestHeat,7:15,7.145,0.75
3,2,WestHeat,7:15,7.252011628,0.75
3,3,WestHeat,7:15,NA,0.75
3,1,WestHeat,7:30,7.618841463,1
3,2,WestHeat,7:30,7.350121951,1
3,3,WestHeat,7:30,7.713670732,1
3,1,WestHeat,7:45,7.752950356,1.25
3,2,WestHeat,7:45,7.756290842,1.25
3,3,WestHeat,7:45,7.69350434,1.25
3,1,WestHeat,8:00,7.726107143,1.5
3,2,WestHeat,8:00,7.392857143,1.5
3,3,WestHeat,8:00,7.719154762,1.5
3,1,WestHeat,8:15,7.809675,1.75
3,2,WestHeat,8:15,7.8560375,1.75
3,3,WestHeat,8:15,8.0293875,1.75
3,1,WestHeat,8:30,7.718297872,2
3,2,WestHeat,8:30,7.697893617,2
3,3,WestHeat,8:30,7.755542553,2
3,1,WestHeat,8:45,8.006617021,2.25
3,2,WestHeat,8:45,7.706085106,2.25
3,3,WestHeat,8:45,7.380106383,2.25
3,1,WestHeat,9:00,9.305417726,2.5
3,2,WestHeat,9:00,8.995081967,2.5
3,3,WestHeat,9:00,9.221118611,2.5
3,1,WestHeat,9:15,9.202,2.75
3,2,WestHeat,9:15,8.811259259,2.75
3,3,WestHeat,9:15,9.055444444,2.75
3,1,WestHeat,9:30,9.340083229,3
3,2,WestHeat,9:30,9.27258427,3
3,3,WestHeat,9:30,8.028772368,3
